Dept,rmse_no_hijri,rmse_with_hijri,n_rows,improvement_%
16,14440.82954887656,10188.46588833565,1260.0,29.446810144447188
1,5289.2961137318125,4268.572424340236,1260.0,19.297911620822738
5,6752.967623439062,5455.168726567602,1260.0,19.21820108194942
18,9018.217931189323,7298.505020995513,851.0,19.069320827191564
72,13123.196821161828,11123.221967210846,1188.0,15.239997397020824
55,4399.183123878825,3847.0289304098533,1074.0,12.551289135291317
77,7259.180382707124,6408.340483439331,12.0,11.72088106936522
56,7656.892226559257,6799.340516981125,1180.0,11.199735926849874
32,3396.325307897553,3051.2675571155564,1217.0,10.159737937341456
39,10861.424603121954,9792.851581063029,9.0,9.838240020114668
6,4380.4969433788665,3951.6021578925797,1152.0,9.79100752791444
51,6773.380930112161,6115.908002981356,65.0,9.706717131586426
26,3833.0168101737504,3479.298346455856,1138.0,9.22820016805145
99,5731.840305796664,5213.286121340685,383.0,9.046905649683934
80,6134.563435245258,5579.875356719793,1177.0,9.042013900102233
29,3086.3025714674322,2817.599035958457,1040.0,8.70632510218257
11,7432.522538424826,6862.7766681608355,1260.0,7.665578776498898
3,14137.58058096253,13175.74945635306,1260.0,6.8033644024258235
71,3585.8557668899552,3350.4086100076593,1044.0,6.565996297349723
48,4847.041779272205,4529.153381160267,400.0,6.558400207552362
98,4386.019640539557,4104.125550104004,1172.0,6.427105064237132
20,3309.2295416408815,3102.4007900933802,1237.0,6.250057572160596
37,4021.8588001385588,3774.518689139785,504.0,6.149895441139126
33,3891.376857355862,3668.9213872547425,1066.0,5.716626229109941
7,8099.2523942780945,7649.063717081519,1260.0,5.558397927129939
43,4192.5977389696745,3962.1398600200696,1.0,5.496780118147935
47,5361.346705612882,5082.213711125781,105.0,5.206397008327635
67,4329.023490819889,4114.755897555298,1260.0,4.949559495783881
17,3233.913448800496,3075.739408833343,1240.0,4.891103069744244
87,7978.896538997529,7612.386092992674,1258.0,4.593497913069864
44,3476.697321093236,3317.6205420835317,1092.0,4.57551418251397
21,3473.8215214651814,3315.565626846189,1260.0,4.555671431048179
25,3577.1111989696774,3422.874311364752,1230.0,4.311772238149896
24,4177.534307982739,4013.2597525373712,1075.0,3.932332886685331
22,3859.7544069152414,3711.956028871456,1133.0,3.8292171589722312
52,3594.132453256254,3476.118093807508,1214.0,3.283528389217426
30,3008.581892990236,2911.592559181048,1036.0,3.223755817821214
85,3374.993425434724,3268.711053693928,1176.0,3.149113445372297
28,3802.587868347041,3689.028725185029,1188.0,2.9863647361651964
96,8812.633667141552,8616.536013697625,1017.0,2.2251878479311933
94,11764.378793063152,11549.265252359126,1175.0,1.828515933462351
50,4080.729247941924,4012.1866904068124,308.0,1.6796644268835086
97,5131.436625322257,5045.727586694936,1232.0,1.6702737436991855
79,6728.48195067011,6652.018751901475,1260.0,1.136410847635835
27,3514.0065873817157,3487.765321171518,1131.0,0.7467620096224753
83,3636.140179022681,3617.540364788322,1177.0,0.5115263251307872
95,14409.410819845754,14467.427166353464,1260.0,-0.4026281659469712
42,2983.0121828365723,3000.4871872484896,1257.0,-0.5858174000248364
45,3885.0723621129855,3910.6443057699926,182.0,-0.6582102281126929
49,4222.8745228664975,4252.385625682798,1079.0,-0.6988392067180786
31,3410.3335787261803,3436.744148328671,1212.0,-0.7744277500371565
58,4031.9302377294207,4063.3596618018996,850.0,-0.7795130922249881
74,5014.4532865344745,5066.1401733369075,1260.0,-1.0307581674203654
36,3585.1717822587184,3652.770037973948,1037.0,-1.8854955862851754
38,11080.581483099582,11296.76534039776,1260.0,-1.9510154555327948
92,15894.389421882252,16209.241794191892,1260.0,-1.9809025936924283
34,5615.886694524351,5735.359975174375,1037.0,-2.1274161525821746
78,3855.751836195389,3944.6486487723664,15.0,-2.3055636450061376
91,8292.915432398153,8485.864069463167,1260.0,-2.326668330792525
13,6468.791776661805,6622.021014767555,1260.0,-2.368745870883849
41,3723.3341195153002,3816.461781504967,1058.0,-2.5011900356068475
19,3521.484946782299,3617.053365731645,808.0,-2.713867030346672
93,10863.2152528286,11169.086434710745,1176.0,-2.8156597725751684
10,5971.707455029259,6147.289970398709,1260.0,-2.9402397336389487
60,4102.523307334143,4224.87117172197,1260.0,-2.982258849550078
4,5565.014359181632,5732.871625239992,1260.0,-3.016295290980056
35,2848.072299023837,2936.2749570135684,1036.0,-3.0969248224478902
81,4406.962922124958,4557.2723482455785,1260.0,-3.4107259075405185
65,9748.616161635693,10092.182238461673,28.0,-3.5242548391435946
59,4207.634728174822,4365.501684430758,1099.0,-3.751916847696885
12,3530.6041814944188,3673.54304434007,1260.0,-4.048566633293591
46,6528.612495926666,6821.1797817181405,1260.0,-4.481308792243572
40,8527.976136896315,8931.987974555132,1260.0,-4.737487900685576
54,3913.8845948565954,4104.392761317909,811.0,-4.867495753749842
14,3796.418570193246,4010.390835274573,1260.0,-5.636161058774803
9,10874.897529602496,11562.534318210608,1260.0,-6.323156487096079
2,10068.937325780546,10740.991293350357,1260.0,-6.6745272696164415
8,5980.391665696895,6440.1644003944275,1260.0,-7.688003736189329
90,9409.555848922693,10538.321684210297,1260.0,-11.995952342605388
23,6430.95805432074,7455.991988884769,1170.0,-15.939054895177609
82,3428.8870413259056,4070.503276050045,1260.0,-18.712084329148233
